V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,class,target
9.45,56.54,30.52,8.89,31.09,37.21,34.35,31.36,0.38,34.86,37.99,4.82,4.60,3.12,11.84,13.51,18.70,8.36,9.23,12.73,15.24,25.81,14.13,8.28,4.17,11.65,21.15,nan,20.60,8.24,18.84,10.74,4.55,19.12,10.42,21.90,1,0.5158
10.23,49.01,31.19,6.46,nan,30.75,25.91,32.40,3.59,33.64,55.09,6.35,4.34,5.12,12.38,10.16,13.95,nan,10.65,12.44,19.47,33.04,15.79,10.10,3.34,14.38,14.05,17.16,44.38,12.31,12.48,17.47,3.06,15.98,8.02,11.46,0,0.5343
14.57,41.43,37.03,10.56,32.55,35.21,25.36,36.64,4.50,17.02,44.19,4.25,2.11,3.94,8.65,16.70,17.12,nan,11.10,15.98,15.67,nan,8.23,12.10,3.09,nan,7.35,12.25,55.48,8.67,8.91,14.00,nan,18.35,9.90,18.68,5,0.5311
12.68,52.28,38.95,9.17,18.84,37.08,33.41,27.98,2.97,34.27,57.54,4.86,4.08,2.60,10.58,13.51,17.21,10.29,17.34,11.30,16.84,18.99,10.76,6.12,4.74,11.16,21.55,12.23,31.98,11.20,19.60,18.80,3.26,13.32,9.83,nan,1,0.5450
13.38,25.44,34.53,10.00,40.96,15.60,nan,41.50,nan,38.48,74.44,4.73,3.71,2.39,8.25,8.86,11.42,13.20,12.31,4.73,8.28,26.93,8.08,6.78,4.63,21.58,22.24,12.03,nan,14.92,9.67,21.97,4.99,11.35,13.10,15.34,0,0.5526
4.85,48.02,nan,6.11,30.27,32.90,30.71,41.41,4.99,33.28,nan,2.85,3.89,3.59,15.40,9.26,11.28,5.61,7.67,17.12,14.97,41.74,15.89,9.98,4.77,9.21,18.63,12.06,nan,8.64,15.61,14.20,3.33,11.34,8.48,16.60,1,0.5012
12.18,49.26,34.05,11.09,33.84,37.56,37.56,30.61,5.64,28.13,nan,3.75,4.62,5.27,12.63,18.02,23.26,7.27,11.11,13.64,8.44,21.50,12.37,9.80,5.30,12.50,20.57,14.14,25.77,13.27,20.14,11.64,3.97,20.22,11.64,20.08,1,0.5259
12.03,23.83,51.37,8.21,44.72,15.50,6.75,53.50,3.96,10.17,32.19,3.74,2.88,2.41,12.22,4.96,26.64,9.25,13.71,21.00,4.34,25.64,12.37,11.85,5.36,22.87,10.80,9.94,59.87,13.49,11.20,6.84,6.02,22.85,14.20,nan,4,0.5008
8.95,38.08,42.27,8.06,14.47,34.01,21.79,38.72,4.04,26.67,52.23,6.01,2.43,3.48,7.48,9.57,13.75,4.60,11.09,nan,21.83,31.24,9.57,5.76,5.26,13.81,10.06,6.69,43.56,nan,12.06,11.66,2.24,13.43,4.68,15.75,5,0.4829
8.19,39.79,40.25,11.48,39.54,20.18,27.43,50.53,4.27,17.24,51.65,3.13,4.37,3.43,14.79,9.23,14.12,14.40,9.40,15.32,10.85,26.52,10.16,6.56,2.79,14.22,9.42,nan,34.90,9.54,13.75,18.06,5.16,16.90,12.32,11.30,5,0.5129
7.34,61.09,25.90,7.37,15.05,38.21,17.61,24.13,3.76,28.20,37.94,3.39,5.26,3.41,11.92,14.69,27.57,10.63,9.18,15.41,18.34,11.48,10.70,8.88,3.47,7.01,16.91,14.62,32.15,8.84,17.43,19.18,2.36,23.57,5.26,21.57,4,0.4889
13.66,28.87,52.06,9.63,46.57,13.30,21.94,50.39,5.23,0.92,40.09,3.08,2.37,3.14,16.00,8.58,22.55,6.39,7.51,21.58,10.99,25.72,15.64,14.34,4.51,23.71,11.31,5.20,49.33,12.06,10.24,8.13,3.10,25.53,15.83,8.34,4,0.5009
11.83,40.60,32.54,10.57,25.81,47.02,42.20,33.32,4.27,40.32,39.05,3.97,6.00,1.61,6.27,nan,17.37,4.40,12.86,9.58,13.40,40.99,14.26,6.22,3.94,19.09,15.70,13.63,37.59,14.52,17.06,11.41,3.56,8.21,12.15,18.53,5,0.5495
13.25,39.02,43.51,5.35,30.66,23.14,57.78,25.22,4.50,37.02,37.88,2.61,3.23,nan,7.70,15.14,5.98,8.38,10.18,15.77,7.27,31.80,10.26,10.12,3.51,4.46,20.15,8.36,16.34,13.38,23.54,16.05,2.99,18.77,7.77,20.19,3,0.5073
7.71,26.92,51.46,7.74,29.92,16.77,24.96,54.30,3.25,30.87,86.11,4.78,4.85,2.94,7.93,10.82,8.32,14.85,15.99,9.46,6.92,41.62,8.78,10.14,4.20,24.76,22.27,6.17,37.93,9.21,4.59,17.33,3.19,nan,8.14,7.34,0,0.5287
6.87,36.81,55.23,7.60,24.97,22.72,39.14,53.59,3.29,39.01,76.89,4.09,4.58,4.01,8.19,7.88,0.00,7.62,8.69,nan,9.42,63.83,14.12,12.45,1.54,22.39,25.34,5.57,28.37,4.07,11.29,nan,2.26,8.13,6.05,7.64,0,0.5357
16.84,45.18,57.34,5.33,23.89,16.44,41.41,50.03,3.59,27.67,69.85,1.33,3.46,4.16,12.76,12.29,8.75,14.53,12.60,16.72,14.17,36.98,9.68,5.40,2.71,22.35,22.09,8.66,34.69,15.30,20.95,18.81,2.22,7.09,8.28,13.40,2,0.5644
10.86,19.26,40.83,5.33,36.97,20.20,19.55,49.13,3.39,13.64,39.16,4.46,3.19,5.08,13.59,14.40,24.11,3.79,7.86,15.04,nan,36.33,12.21,4.82,3.51,27.48,0.25,10.38,52.82,10.81,6.58,3.72,1.64,23.68,15.49,8.50,4,0.4765
12.45,53.75,40.80,4.12,10.19,40.03,29.22,24.10,4.50,36.38,58.06,2.83,4.25,2.61,12.23,14.23,15.05,5.35,16.02,11.84,17.18,31.98,12.27,10.67,5.07,10.64,19.07,13.78,41.01,9.01,nan,18.84,3.64,nan,6.02,15.70,1,0.5363
6.44,56.08,41.95,14.81,35.55,53.39,39.55,35.20,2.47,26.57,34.67,2.56,3.61,2.78,11.48,19.80,17.85,5.62,12.80,16.03,12.69,33.89,16.20,11.53,0.70,17.11,12.70,10.70,34.69,10.04,16.25,17.37,2.29,18.39,12.01,20.88,1,0.5753
19.53,29.68,38.70,5.96,41.28,23.44,35.26,33.98,3.94,33.98,53.52,5.52,2.94,3.34,6.78,8.25,13.13,6.65,14.21,nan,11.53,25.11,10.58,11.49,3.88,18.58,17.41,13.37,62.30,13.25,11.58,16.38,2.81,14.56,15.13,21.23,3,0.5730
9.98,45.62,29.28,12.15,18.72,38.61,51.47,21.09,4.59,nan,53.80,2.34,nan,1.91,5.57,15.20,10.54,7.06,8.86,9.89,24.25,26.00,12.77,5.58,6.10,9.04,17.13,8.82,19.47,13.52,16.42,18.60,4.06,15.81,9.22,16.59,1,0.5079
7.76,44.05,41.51,nan,22.98,39.02,59.05,23.37,nan,49.33,30.65,5.44,3.04,2.23,5.38,17.58,9.65,6.73,11.72,14.41,6.84,38.58,11.84,8.32,3.39,6.63,21.91,11.35,17.87,19.30,25.28,23.01,3.56,16.18,1.73,22.43,3,0.5375
9.98,39.99,25.95,6.53,39.42,41.36,32.79,29.69,2.61,28.68,22.88,4.23,4.46,5.34,11.11,17.84,23.96,5.33,8.42,10.76,7.39,32.83,12.12,16.16,2.87,nan,17.24,14.72,39.64,14.81,nan,7.84,2.73,11.05,14.44,20.89,1,0.5184
11.08,61.54,67.61,9.19,25.45,38.67,36.37,46.59,2.98,nan,65.22,4.18,5.09,2.98,10.21,16.73,11.11,14.24,18.47,nan,10.00,52.04,15.17,12.46,3.11,29.26,20.83,8.68,34.64,11.42,23.04,18.58,2.83,11.07,8.03,10.51,2,0.6271
6.37,28.26,56.37,10.77,32.05,17.39,33.29,64.48,3.01,39.93,88.48,4.49,3.73,4.37,10.78,9.78,4.54,13.29,16.65,9.43,3.87,48.88,11.73,4.53,3.62,26.78,20.79,5.55,33.55,nan,6.03,21.13,2.35,nan,3.33,9.92,0,0.5525
9.44,6.69,24.19,7.93,31.04,10.33,16.61,43.64,5.51,19.77,39.15,2.43,4.23,2.97,11.66,3.52,26.80,9.93,9.82,11.96,6.64,13.77,10.38,nan,4.20,6.24,10.97,nan,54.71,21.60,6.62,17.95,3.06,6.56,2.98,13.65,5,0.4215
8.98,52.51,32.79,9.14,nan,44.02,38.01,21.47,4.43,30.66,58.98,4.32,3.39,3.02,nan,15.35,14.76,9.09,12.53,10.86,24.38,27.97,12.76,8.50,4.73,10.94,16.46,nan,29.87,11.34,17.06,19.81,5.15,11.60,11.59,14.68,1,0.5298
13.60,54.06,28.92,8.36,15.67,36.91,41.21,31.84,3.57,36.20,46.21,2.95,nan,4.07,10.28,14.75,19.14,8.17,6.76,12.17,19.33,33.04,13.86,5.23,2.07,15.67,19.95,14.63,27.88,13.18,20.88,16.97,3.25,11.52,8.87,17.45,0,0.5268
12.83,44.40,32.92,10.98,35.31,34.60,27.43,37.40,5.22,24.90,46.47,3.25,3.10,nan,nan,12.89,13.13,8.93,12.60,14.84,15.94,23.73,10.97,10.34,3.16,11.36,11.46,16.10,47.83,9.64,10.67,15.21,2.90,15.06,11.18,16.10,0,0.5360
13.13,28.91,45.93,8.27,36.29,13.01,18.97,48.31,4.11,13.89,50.55,4.12,5.27,3.72,13.02,6.79,23.49,6.78,7.87,17.35,11.16,27.50,15.36,10.26,6.08,24.96,11.58,6.45,49.34,9.25,8.73,11.11,nan,26.22,11.74,9.49,4,0.4955
4.95,43.55,51.09,12.27,22.56,48.38,28.64,55.31,4.43,47.23,63.54,2.17,2.92,2.01,0.00,10.66,5.37,8.84,16.56,16.47,12.71,72.33,18.84,10.87,3.31,28.77,21.51,13.36,47.67,10.64,7.96,17.78,1.29,3.29,7.56,7.28,0,0.5948
11.21,54.76,23.66,9.40,29.47,30.86,37.05,38.53,3.30,34.06,40.62,4.41,4.22,3.65,10.98,14.08,16.90,11.93,5.41,11.49,12.78,31.48,13.60,6.43,2.20,11.43,20.22,15.13,12.28,5.84,17.74,9.44,3.45,16.71,11.08,16.71,1,0.4923
5.56,20.40,29.92,9.22,27.36,26.65,21.25,34.15,4.01,25.82,42.06,4.41,3.42,2.10,nan,7.06,20.65,7.80,16.93,10.99,5.60,19.02,13.38,9.86,4.22,0.88,2.27,9.85,48.37,12.93,10.16,21.12,2.10,12.64,4.36,13.38,5,0.4559
6.94,54.51,30.17,10.74,39.49,45.90,29.30,nan,4.30,nan,31.12,2.41,4.54,2.98,10.28,16.76,21.06,9.37,8.71,8.64,17.10,22.20,7.53,15.85,4.31,14.93,15.77,14.67,37.34,15.38,19.39,12.92,4.48,15.93,12.53,nan,0,0.5400
12.62,nan,22.61,12.03,nan,40.93,nan,33.68,4.65,28.00,42.82,4.48,2.38,3.24,7.04,18.50,20.05,9.43,9.61,12.58,13.58,27.02,13.34,5.30,4.17,9.89,8.54,nan,31.86,8.54,13.20,18.04,3.05,12.84,nan,16.52,1,0.5044
8.19,55.28,40.42,2.58,15.68,35.17,20.49,31.79,nan,36.65,52.82,3.98,3.70,nan,6.53,11.46,19.59,13.05,12.21,13.42,9.57,46.13,14.44,15.58,2.38,17.85,20.06,13.29,36.22,5.89,19.13,17.14,1.42,14.89,8.91,11.43,4,0.5302
9.13,20.28,50.85,9.37,45.46,18.70,23.10,52.47,4.02,11.54,39.60,3.58,5.02,5.28,8.65,10.71,23.49,9.93,12.36,18.91,9.43,34.01,18.00,10.31,2.20,28.67,9.17,2.40,45.03,18.33,6.63,3.29,3.05,22.02,14.40,8.42,4,0.5026
8.04,43.46,34.00,5.72,29.43,25.38,23.73,41.03,3.40,20.33,47.86,3.78,4.77,3.28,11.25,11.81,14.30,12.05,7.26,18.31,18.58,28.04,10.78,10.60,3.99,11.19,14.16,11.26,37.31,11.38,10.82,13.86,1.49,13.66,9.88,14.65,5,0.4888
12.27,47.23,43.12,9.66,37.55,30.27,35.07,41.77,2.93,29.87,40.93,5.85,2.94,nan,10.07,11.34,18.40,10.88,9.03,11.06,12.73,38.54,14.00,12.02,4.60,24.19,18.37,10.20,34.13,16.50,20.83,9.78,3.35,12.50,8.32,15.44,5,0.5489
nan,14.25,38.13,0.30,30.70,15.67,18.80,38.69,4.61,24.63,28.26,2.94,2.57,2.04,11.42,7.29,30.05,0.46,11.98,21.39,5.37,25.37,16.83,9.28,5.92,19.12,7.44,11.22,74.33,16.79,9.42,11.21,3.83,21.70,10.91,18.16,4,0.4908
6.44,23.33,nan,8.40,7.74,27.58,22.38,33.67,1.27,15.30,64.11,nan,4.79,3.50,11.11,11.22,29.00,9.02,12.36,8.05,nan,17.32,11.82,8.02,4.07,11.48,5.79,0.00,38.93,7.44,9.07,21.21,3.16,11.14,9.03,12.48,5,0.4409
10.15,57.81,48.03,8.93,24.18,45.97,40.14,35.68,5.66,44.76,43.39,nan,4.19,2.97,8.34,17.99,10.96,6.16,15.27,12.37,9.18,56.41,18.21,9.95,1.44,20.87,21.12,15.27,23.10,9.92,21.38,9.26,2.78,15.28,6.78,10.71,4,0.5686
8.34,52.51,40.70,13.96,33.11,35.52,38.75,37.04,4.21,nan,46.95,3.79,4.28,3.74,nan,16.86,20.23,14.98,12.90,14.05,14.46,17.42,11.27,9.03,2.90,nan,21.05,9.35,22.02,16.68,19.68,19.52,3.10,13.57,13.05,17.37,0,0.5475
11.59,39.92,33.88,7.04,32.85,32.77,41.13,35.19,5.64,nan,23.33,3.66,4.71,2.50,9.50,14.93,23.32,8.38,8.29,16.06,5.73,36.78,16.37,11.28,3.60,14.58,18.04,10.46,24.76,13.34,20.52,8.66,2.32,15.57,15.64,nan,1,0.5052
15.45,44.33,24.78,8.35,35.33,27.77,43.15,33.11,4.25,32.84,nan,4.58,2.52,3.41,9.41,16.89,17.72,11.01,7.23,11.73,7.65,27.46,11.93,9.92,nan,10.99,18.83,16.50,23.75,12.80,17.84,10.66,6.32,16.41,10.82,17.94,1,0.5073
9.06,50.51,33.13,7.38,31.92,40.62,37.37,19.62,2.88,29.42,nan,1.54,4.37,3.42,11.14,13.96,12.53,5.29,9.99,9.38,19.49,34.92,14.62,14.15,4.02,14.63,12.06,13.98,39.86,9.36,15.84,17.75,4.71,18.31,15.48,12.84,0,0.5479
12.69,42.38,38.73,9.09,29.11,33.55,34.55,40.48,nan,nan,46.12,4.54,0.86,2.68,11.49,18.08,19.29,8.98,11.26,17.75,12.50,25.57,13.04,10.26,2.40,15.73,14.11,9.15,40.13,10.92,11.59,15.58,3.73,14.36,12.18,18.51,1,0.5302
7.67,52.63,30.51,9.88,31.34,45.83,25.20,23.94,3.06,37.52,28.10,4.77,3.67,2.97,8.54,13.93,20.05,5.14,12.44,11.95,15.73,22.20,9.85,9.54,4.34,10.84,19.69,nan,34.44,11.76,17.84,9.92,3.73,20.76,8.92,23.07,1,0.5194
17.71,15.66,38.49,7.09,39.53,13.22,34.56,40.16,2.36,16.58,nan,3.96,2.99,2.45,8.59,11.01,23.00,5.05,9.06,18.67,7.31,23.46,15.86,10.96,4.74,17.14,12.21,nan,44.98,16.91,9.56,5.33,2.45,22.43,12.92,13.56,4,0.4689
5.05,39.07,25.69,8.85,37.19,34.51,50.85,21.70,3.57,27.64,40.10,2.56,4.21,2.90,9.85,16.66,13.17,8.85,6.13,11.74,13.98,28.43,12.54,12.63,6.00,6.84,16.28,10.28,20.65,15.11,15.25,19.59,3.05,16.55,16.62,17.36,0,0.5044
7.62,52.66,32.26,5.28,43.76,39.68,22.78,34.93,3.33,43.09,29.12,4.19,2.41,2.32,9.22,6.34,12.43,7.51,10.49,15.03,16.39,41.58,14.48,12.04,3.92,15.05,13.38,19.85,52.15,13.91,17.59,11.40,2.31,14.02,9.16,21.45,1,0.5592
6.84,35.20,39.86,9.73,31.96,24.00,33.25,48.41,4.63,23.37,41.23,3.24,4.42,4.64,nan,10.75,15.99,9.71,5.15,11.50,9.97,40.56,8.60,4.82,3.95,18.37,13.00,11.63,25.32,13.16,19.61,11.60,1.75,11.85,11.37,9.71,5,0.4848
nan,45.76,nan,9.30,38.99,32.49,38.76,28.37,3.69,nan,42.27,6.35,1.24,3.71,11.30,16.66,17.84,9.36,nan,8.42,12.73,23.05,12.99,10.97,4.42,14.31,17.66,14.46,nan,15.43,14.88,12.23,6.68,17.54,9.77,18.34,1,0.5311
12.51,56.31,24.18,15.16,25.78,44.39,35.18,29.01,3.12,24.15,29.21,3.19,4.72,2.82,8.83,16.57,21.30,9.72,6.29,14.38,14.00,22.77,9.00,14.03,1.56,7.99,22.27,19.93,31.67,11.43,20.02,20.22,1.36,13.86,12.60,16.48,4,0.5272
8.28,51.33,nan,7.45,20.74,37.90,43.01,36.00,2.93,37.49,42.60,4.56,4.45,2.50,nan,15.92,11.59,10.15,12.38,16.99,11.68,50.00,17.40,9.81,4.80,17.63,15.38,nan,22.16,11.55,20.89,13.31,nan,17.09,4.78,14.35,4,0.5388
12.07,40.69,nan,15.30,28.11,25.65,59.21,50.40,3.47,19.92,68.86,2.78,5.76,5.96,18.08,20.83,9.76,11.23,14.03,9.81,12.72,28.50,14.05,0.74,3.66,16.91,20.66,1.43,0.00,13.82,17.40,12.75,3.98,7.32,10.01,11.12,2,0.5226
5.60,26.96,52.71,12.82,32.02,23.87,45.16,56.64,4.25,45.15,78.67,3.76,3.99,3.63,6.03,nan,2.89,10.34,12.55,9.76,6.88,53.68,11.01,3.19,3.84,27.42,21.30,6.71,31.93,11.77,9.36,23.86,5.18,9.77,6.80,12.02,0,0.5660
15.71,50.23,52.33,11.32,7.42,41.62,36.23,34.35,3.04,26.88,41.93,2.47,4.02,1.79,3.43,15.88,18.82,6.53,11.55,17.12,nan,35.87,10.37,nan,4.73,19.93,18.33,6.94,37.06,11.93,23.21,14.30,1.84,13.77,4.07,15.91,5,0.5342
9.24,46.42,40.93,8.21,27.76,34.28,26.70,nan,3.28,19.82,46.63,3.86,3.38,nan,14.50,14.56,17.47,7.84,9.54,15.57,12.82,39.13,13.81,11.61,2.02,nan,19.23,9.88,29.34,7.13,14.23,8.12,3.70,9.12,12.96,12.01,4,0.5036
11.07,34.64,36.90,16.21,32.44,34.32,37.25,nan,1.41,25.22,41.05,4.02,3.57,4.27,nan,13.00,15.42,5.01,8.86,15.66,13.07,30.24,12.76,8.95,4.61,15.19,17.79,nan,36.93,12.82,10.50,15.41,1.32,nan,8.38,15.59,3,0.5144
11.76,46.22,41.17,10.70,14.30,37.75,25.41,43.95,4.52,22.18,44.98,3.71,2.03,3.03,8.85,12.39,19.04,8.49,10.77,21.37,18.88,30.64,10.79,2.40,1.82,16.49,9.29,14.17,49.52,10.11,15.81,nan,2.64,14.81,11.53,14.68,5,0.5332
12.47,37.82,27.25,12.48,34.14,26.64,31.62,38.73,5.43,nan,46.93,2.67,3.23,4.07,13.97,11.53,21.06,8.90,10.11,11.82,16.19,16.15,13.93,4.90,4.99,13.44,12.54,13.37,36.98,14.18,nan,15.12,4.08,17.20,11.77,14.52,4,0.5032
10.90,50.04,13.53,9.23,20.49,41.34,50.35,23.45,3.11,35.00,34.22,3.48,2.42,nan,9.03,25.59,28.82,13.08,nan,8.41,0.44,20.56,11.43,4.83,4.51,8.99,7.80,15.30,18.58,5.22,18.88,24.72,2.01,22.38,13.74,25.21,2,0.5125
11.59,nan,49.24,9.80,26.90,42.90,nan,31.00,3.86,21.99,45.40,2.41,4.76,2.99,11.18,13.28,17.67,7.89,20.10,14.99,17.66,22.63,10.57,13.66,nan,13.94,nan,13.34,50.42,nan,17.51,11.82,3.11,14.27,8.56,14.22,2,0.5512
12.68,53.41,48.38,3.39,27.36,23.83,28.74,36.60,3.10,32.42,58.95,3.98,3.33,4.17,6.57,11.66,13.95,16.34,11.98,15.08,14.26,37.07,11.70,10.14,3.92,23.09,14.81,11.47,40.26,11.13,19.16,16.64,2.75,20.09,8.65,14.12,4,0.5628
11.27,49.14,32.96,9.58,38.09,28.95,35.56,35.14,5.98,15.53,44.49,5.47,1.62,2.78,10.73,15.21,nan,17.18,11.50,13.19,15.83,14.95,11.28,11.79,4.66,8.44,14.80,6.84,19.97,10.89,16.49,9.18,2.98,13.13,14.48,18.52,5,0.5039
13.33,36.12,28.25,9.20,17.78,38.59,45.53,25.36,4.03,26.74,38.38,5.21,4.92,4.27,6.05,18.07,18.21,5.24,7.61,12.46,nan,32.70,12.28,9.22,3.31,11.53,9.14,11.68,36.20,12.38,16.13,16.93,2.57,13.92,11.99,14.56,1,0.5041
12.40,62.85,33.28,4.79,25.81,32.10,35.33,30.91,4.79,35.37,46.90,5.70,nan,4.17,13.35,16.83,18.89,13.96,10.95,12.44,14.07,27.30,14.02,7.59,3.57,14.11,17.79,15.30,24.39,11.49,21.83,15.20,3.52,17.51,7.91,19.16,4,0.5453
6.06,54.56,11.71,8.40,40.98,42.23,45.48,20.16,3.11,28.49,14.35,4.14,4.08,3.17,14.96,21.55,24.94,11.27,4.69,12.81,2.47,22.94,14.06,13.50,2.28,1.82,10.16,20.50,21.58,10.58,20.63,22.31,1.99,22.10,17.41,22.79,2,0.5163
8.92,38.24,29.71,8.31,33.18,35.43,41.22,27.15,5.80,27.16,49.69,5.35,5.40,4.46,6.98,16.34,15.77,9.90,8.09,9.58,nan,29.20,9.09,11.79,3.16,15.92,14.49,10.54,36.14,13.33,13.40,17.59,2.02,13.45,nan,17.89,0,0.5337
15.53,57.85,29.69,6.09,21.69,26.40,nan,26.29,5.76,38.54,56.87,2.65,4.01,4.06,11.44,13.33,9.45,10.75,6.85,9.88,20.57,nan,11.32,8.77,3.58,9.91,23.66,16.61,21.81,12.14,nan,17.13,1.52,13.44,5.93,nan,1,0.5217
13.69,52.83,44.55,5.13,21.77,31.12,32.27,28.49,nan,17.97,47.32,4.07,2.23,4.76,nan,19.45,19.70,8.49,11.73,22.85,17.53,20.15,13.67,12.29,3.21,13.58,20.22,10.83,38.99,13.16,14.82,18.27,2.85,nan,11.80,16.53,4,0.5376
11.16,43.36,43.07,13.36,25.34,38.00,40.94,31.88,nan,27.19,56.65,3.81,5.10,4.08,7.30,16.38,19.67,9.47,15.86,10.94,15.26,29.85,18.62,10.88,4.90,20.57,18.12,5.43,29.28,14.98,13.88,15.70,nan,16.50,10.30,11.71,3,0.5478
14.11,43.71,43.72,12.36,17.07,35.40,19.19,49.66,3.32,14.92,48.85,3.34,nan,1.72,12.42,15.77,26.60,7.53,14.47,20.47,nan,30.28,19.13,8.99,3.24,21.48,13.90,11.12,48.41,11.10,9.00,14.29,5.71,15.18,8.72,7.90,3,0.5257
8.65,13.04,42.21,7.78,28.49,14.24,34.69,50.84,nan,40.82,65.66,2.34,4.61,4.43,6.49,6.51,10.58,8.68,11.16,9.74,0.90,44.71,8.10,6.48,3.77,19.37,22.83,9.04,37.70,11.43,9.02,19.66,4.00,8.67,8.68,11.25,0,0.4955
8.99,28.58,57.55,14.51,36.80,12.57,32.66,64.78,4.28,33.07,100.00,4.31,3.65,3.75,14.59,5.67,7.21,14.60,18.38,5.32,5.71,32.44,10.19,2.73,3.96,26.90,18.77,2.47,35.84,6.17,7.45,24.90,5.52,8.97,5.54,12.08,0,0.5663
11.05,6.99,nan,9.05,30.64,10.03,31.46,36.89,2.37,22.53,49.57,3.33,3.15,3.75,8.64,6.74,23.66,nan,6.74,8.23,5.85,9.74,8.61,9.85,6.07,2.75,11.31,9.56,42.30,15.44,4.80,22.98,2.52,8.61,10.56,15.34,5,0.4221
10.13,20.17,43.32,11.60,42.90,19.43,20.60,49.41,3.79,10.99,51.19,6.12,3.54,5.85,12.11,11.08,27.23,8.12,10.81,12.81,10.03,21.85,13.20,10.95,3.64,28.31,13.12,3.78,50.06,16.07,4.57,9.79,5.28,19.37,13.76,11.87,4,0.5075
12.28,45.69,37.63,10.35,33.80,27.20,24.67,42.28,4.49,14.23,50.04,nan,2.59,4.36,13.55,11.91,20.06,12.45,10.22,15.68,19.78,14.16,9.74,9.00,nan,15.57,nan,9.41,42.02,13.29,13.37,14.32,3.30,13.61,11.51,18.17,4,0.5206
12.81,44.24,35.51,9.62,31.68,26.36,34.84,35.79,5.13,33.28,52.92,5.58,4.07,4.67,9.53,11.44,14.34,11.36,12.86,12.08,15.47,23.81,13.84,6.23,2.10,14.15,14.19,11.99,34.17,12.83,14.25,15.38,3.19,18.58,7.12,nan,0,0.5306
11.07,28.56,43.37,9.19,41.58,29.20,49.43,38.74,3.64,31.29,50.79,4.91,2.29,4.06,11.65,13.55,14.13,6.09,14.16,11.96,8.11,33.14,16.72,9.00,2.59,nan,14.12,4.49,37.21,15.58,13.14,16.04,5.47,12.56,13.07,20.07,1,0.5543
7.81,41.05,43.80,5.17,21.29,37.41,33.95,32.86,1.30,37.60,54.31,3.40,3.53,3.64,4.77,10.71,18.80,8.26,11.94,14.59,15.61,40.30,12.54,7.86,4.43,nan,20.62,7.46,42.58,13.05,17.09,18.99,4.71,13.26,15.12,20.01,3,0.5588
8.30,42.05,36.91,12.93,19.14,44.60,34.13,nan,2.35,29.24,32.62,3.03,3.60,1.12,6.40,14.15,15.32,4.14,8.30,16.44,16.56,39.32,10.48,6.23,4.05,14.02,9.88,14.76,41.24,12.70,17.18,17.25,nan,14.49,8.37,13.86,2,0.5138
13.53,51.46,31.37,7.49,36.92,32.95,30.13,30.51,4.92,37.37,58.39,3.10,1.59,2.75,10.88,15.81,16.76,11.57,nan,7.52,13.23,22.93,13.96,11.51,1.83,17.45,19.32,15.24,38.44,11.47,11.55,13.21,4.87,16.78,8.93,18.51,1,0.5566
9.27,47.88,25.53,8.74,28.20,36.95,41.81,25.23,5.78,35.33,36.37,3.05,1.55,3.88,7.75,14.32,18.10,9.66,7.26,10.40,13.36,27.93,11.37,9.38,4.40,9.84,16.81,nan,23.94,11.36,19.88,16.10,2.71,16.43,11.44,20.76,0,0.5085
10.89,24.30,52.60,6.31,44.50,14.01,9.12,47.37,6.46,9.58,36.55,3.99,nan,4.18,12.33,8.24,26.16,8.34,14.15,18.83,6.99,25.51,15.19,10.67,2.21,25.14,6.47,6.36,51.75,12.99,9.09,1.55,4.42,30.08,13.21,7.68,4,0.4869
10.30,40.50,27.35,3.33,41.85,9.50,33.43,46.46,3.04,16.27,40.09,4.33,4.77,4.32,16.39,9.90,14.93,14.25,2.38,19.01,15.30,25.63,16.22,8.66,3.10,7.91,13.89,8.29,16.91,10.41,12.25,nan,5.42,16.92,13.34,14.58,5,0.4479
10.96,59.36,31.92,10.51,27.39,41.81,34.94,27.72,nan,24.50,35.63,2.11,4.75,3.80,12.47,18.38,19.55,11.17,10.25,12.50,13.30,26.27,11.38,13.43,3.35,9.67,18.47,nan,26.03,11.76,22.00,15.63,3.69,14.17,11.43,15.09,4,0.5304
11.26,40.99,23.53,12.59,30.84,30.71,35.93,43.17,5.32,34.51,40.95,3.28,3.59,3.49,5.29,9.78,16.06,11.48,6.98,15.30,16.07,36.30,17.77,5.28,4.72,15.29,12.96,16.15,34.34,13.49,11.08,15.43,2.09,15.85,10.53,12.33,0,0.5137
9.63,54.20,42.21,13.30,29.17,43.17,28.65,31.32,2.57,19.74,34.44,3.90,3.57,3.46,12.50,15.62,19.54,8.42,15.07,14.41,17.62,15.34,9.60,8.96,2.71,9.52,16.65,10.14,27.90,11.87,20.76,9.95,3.41,16.57,10.12,19.17,1,0.5187
8.27,49.59,32.24,6.63,52.62,32.29,nan,nan,5.57,35.05,42.62,3.36,4.01,3.34,14.89,9.22,10.03,10.31,9.32,15.79,nan,42.78,19.33,9.20,4.99,17.24,11.18,16.21,41.51,11.76,13.71,14.26,3.20,12.59,16.14,19.32,1,0.5766
